Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DDB1","Damage Specific DNA Binding Protein 1","Protein Coding","Q16531","56","GC11M132628","3.21512532234192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB1"
"AGA","Aspartylglucosaminidase","Protein Coding","P20933","58","GC04M177430","3.21494150161743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGA"
"SLX1A-SULT1A3","SLX1A-SULT1A3 Readthrough (NMD Candidate)","RNA Gene","","21","GC16P104939","3.21275877952576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLX1A-SULT1A3"
"LIPT1","Lipoyltransferase 1","Protein Coding","Q9Y234","51","GC02P099262","3.21233606338501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPT1"
"FALEC","Focally Amplified Long Non-Coding RNA In Epithelial Cancer","RNA Gene","","25","GC01P170202","3.21110248565674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FALEC"
"MRPS16","Mitochondrial Ribosomal Protein S16","Protein Coding","Q9Y3D3","54","GC10M073248","3.20911884307861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS16"
"MYOC","Myocilin","Protein Coding","Q99972","54","GC01M171604","3.20801067352295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOC"
"DCDC2","Doublecortin Domain Containing 2","Protein Coding","Q9UHG0","51","GC06M024171","3.20014333724976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCDC2"
"ATP5PO","ATP Synthase Peripheral Stalk Subunit OSCP","Protein Coding","P48047","56","GC21M033904","3.19830226898193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5PO"
"TPM3","Tropomyosin 3","Protein Coding","P06753","60","GC01M154155","3.19289517402649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM3"
"GNMT","Glycine N-Methyltransferase","Protein Coding","Q14749","56","GC06P042960","3.1898934841156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNMT"
"ANXA2","Annexin A2","Protein Coding","P07355","59","GC15M060347","3.18525648117065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2"
"POLGARF","POLG Alternative Reading Frame","Protein Coding","A0A3B3IS91","19","GC15M158835","3.18149566650391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLGARF"
"PIN1","Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1","Protein Coding","Q13526","60","GC19P009835","3.18003940582275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN1"
"LRAT","Lecithin Retinol Acyltransferase","Protein Coding","O95237","56","GC04P154626","3.1777138710022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRAT"
"SLC12A1","Solute Carrier Family 12 Member 1","Protein Coding","Q13621","61","GC15P175308","3.16469645500183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1"
"U2AF2","U2 Small Nuclear RNA Auxiliary Factor 2","Protein Coding","P26368","52","GC19P055654","3.16390252113342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF2"
"ENO1","Enolase 1","Protein Coding","P06733","61","GC01M008861","3.15604162216187","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO1"
"ZNF335","Zinc Finger Protein 335","Protein Coding","Q9H4Z2","50","GC20M045948","3.14343094825745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF335"
"GPT2","Glutamic--Pyruvic Transaminase 2","Protein Coding","Q8TD30","58","GC16P105274","3.13735389709473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT2"
"IFI27","Interferon Alpha Inducible Protein 27","Protein Coding","P40305","50","GC14P094104","3.13603591918945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI27"
"MRM2","Mitochondrial RRNA Methyltransferase 2","Protein Coding","Q9UI43","50","GC07M002234","3.13297128677368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRM2"
"PLEK","Pleckstrin","Protein Coding","P08567","52","GC02P068365","3.12443351745605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEK"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","P81172","55","GC19P132915","3.1131579875946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"CFL1","Cofilin 1","Protein Coding","P23528","58","GC11M065823","3.10727095603943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFL1"
"SLC4A1","Solute Carrier Family 4 Member 1 (Diego Blood Group)","Protein Coding","P02730","61","GC17M089464","3.10594606399536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A1"
"SERPING1","Serpin Family G Member 1","Protein Coding","P05155","59","GC11P057597","3.10338068008423","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPING1"
"ALAS2","5'-Aminolevulinate Synthase 2","Protein Coding","P22557","59","GC0XM055009","3.0965564250946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS2"
"ATP5F1D","ATP Synthase F1 Subunit Delta","Protein Coding","P30049","52","GC19P131839","3.09622430801392","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1D"
"TPK1","Thiamin Pyrophosphokinase 1","Protein Coding","Q9H3S4","57","GC07M144451","3.08864665031433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPK1"
"COL4A3","Collagen Type IV Alpha 3 Chain","Protein Coding","Q01955","58","GC02P227164","3.0747971534729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A3"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","Q9NRR6","53","GC09M136428","3.06400871276855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","20","GCMTM015957","3.06181406974792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"UGT1A7","UDP Glucuronosyltransferase Family 1 Member A7","Protein Coding","Q9HAW7","52","GC02P233681","3.06064248085022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A7"
"SLC12A2","Solute Carrier Family 12 Member 2","Protein Coding","P55011","62","GC05P128083","3.05567407608032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A2"
"TRAF5","TNF Receptor Associated Factor 5","Protein Coding","O00463","54","GC01P211326","3.04753160476685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF5"
"GH1","Growth Hormone 1","Protein Coding","P01241","55","GC17M063917","3.03929948806763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"SLC25A29","Solute Carrier Family 25 Member 29","Protein Coding","Q8N8R3","50","GC14M122088","3.03630566596985","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A29"
"PCLO","Piccolo Presynaptic Cytomatrix Protein","Protein Coding","Q9Y6V0","51","GC07M082754","3.03333044052124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCLO"
"MIR224","MicroRNA 224","RNA Gene","","26","GC0XM151958","3.02773714065552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
"LALBA","Lactalbumin Alpha","Protein Coding","P00709","50","GC12M048567","3.02258920669556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LALBA"
"TRIM21","Tripartite Motif Containing 21","Protein Coding","P19474","55","GC11M004384","3.01641845703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM21"
"WDR19","WD Repeat Domain 19","Protein Coding","Q8NEZ3","50","GC04P039272","3.01410150527954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR19"
"LDHB","Lactate Dehydrogenase B","Protein Coding","P07195","57","GC12M021635","3.01054978370667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDHB"
"EDNRA","Endothelin Receptor Type A","Protein Coding","P25101","62","GC04P147480","3.0077760219574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRA"
"HBG2","Hemoglobin Subunit Gamma 2","Protein Coding","P69892","55","GC11M013437","2.98865246772766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBG2"
"NFYA","Nuclear Transcription Factor Y Subunit Alpha","Protein Coding","P23511","52","GC06P156477","2.97671341896057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYA"
"GRP","Gastrin Releasing Peptide","Protein Coding","P07492","52","GC18P059220","2.97465109825134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRP"
"RAB11A","RAB11A, Member RAS Oncogene Family","Protein Coding","P62491","58","GC15P175678","2.96817350387573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB11A"
"LRBA","LPS Responsive Beige-Like Anchor Protein","Protein Coding","P50851","52","GC04M150264","2.9680380821228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRBA"
"CADM1","Cell Adhesion Molecule 1","Protein Coding","Q9BY67","57","GC11M115169","2.96203327178955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CADM1"
"PRPH2","Peripherin 2","Protein Coding","P23942","52","GC06M100538","2.96044850349426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPH2"
"EARS2","Glutamyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","Q5JPH6","54","GC16M027847","2.95806956291199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EARS2"
"UGT1A10","UDP Glucuronosyltransferase Family 1 Member A10","Protein Coding","Q9HAW8","54","GC02P233636","2.95797920227051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A10"
"UGT1A8","UDP Glucuronosyltransferase Family 1 Member A8","Protein Coding","Q9HAW9","51","GC02P233900","2.95797920227051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A8"
"UGT1A6","UDP Glucuronosyltransferase Family 1 Member A6","Protein Coding","P19224","55","GC02P233691","2.94851422309875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A6"
"SELP","Selectin P","Protein Coding","P16109","58","GC01M169558","2.94693493843079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP"
"DECR1","2,4-Dienoyl-CoA Reductase 1","Protein Coding","Q16698","52","GC08P090001","2.94448113441467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DECR1"
"NDUFA6","NADH:Ubiquinone Oxidoreductase Subunit A6","Protein Coding","P56556","54","GC22M042085","2.93914103507996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA6"
"ABAT","4-Aminobutyrate Aminotransferase","Protein Coding","P80404","58","GC16P008674","2.93429565429688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABAT"
"PROS1","Protein S","Protein Coding","P07225","61","GC03M093873","2.93216586112976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROS1"
"AQP2","Aquaporin 2","Protein Coding","P41181","61","GC12P049950","2.92819166183472","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP2"
"LYN","LYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P07948","62","GC08P055879","2.92165470123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYN"
"BCHE","Butyrylcholinesterase","Protein Coding","P06276","62","GC03M165772","2.92164897918701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCHE"
"GAL","Galanin And GMAP Prepropeptide","Protein Coding","P22466","57","GC11P099196","2.91718173027039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL"
"ABCA4","ATP Binding Cassette Subfamily A Member 4","Protein Coding","P78363","57","GC01M093992","2.91610836982727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4"
"KIF23","Kinesin Family Member 23","Protein Coding","Q02241","55","GC15P069414","2.90544128417969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF23"
"SERPINB6","Serpin Family B Member 6","Protein Coding","P35237","55","GC06M002948","2.90455293655396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB6"
"HYDIN","HYDIN Axonemal Central Pair Apparatus Protein","Protein Coding","Q4G0P3","51","GC16M073865","2.90116834640503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYDIN"
"TBXT","T-Box Transcription Factor T","Protein Coding","O15178","57","GC06M166158","2.89814877510071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBXT"
"RNH1","Ribonuclease/Angiogenin Inhibitor 1","Protein Coding","P13489","50","GC11M013219","2.88753533363342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNH1"
"RINT1","RAD50 Interactor 1","Protein Coding","Q6NUQ1","50","GC07P105532","2.86846423149109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RINT1"
"PEG3","Paternally Expressed 3","Protein Coding","Q9GZU2","48","GC19M056810","2.86737060546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEG3"
"SFTA3","Surfactant Associated 3","RNA Gene","P0C7M3","43","GC14M036518","2.85166692733765","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTA3"
"POLR2L","RNA Polymerase II, I And III Subunit L","Protein Coding","P62875","52","GC11M013238","2.84947919845581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2L"
"GFER","Growth Factor, Augmenter Of Liver Regeneration","Protein Coding","P55789","58","GC16P001984","2.84456586837769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER"
"PPP1CA","Protein Phosphatase 1 Catalytic Subunit Alpha","Protein Coding","P62136","61","GC11M132909","2.84253025054932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CA"
"CXCR2","C-X-C Motif Chemokine Receptor 2","Protein Coding","P25025","62","GC02P218125","2.83116269111633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR2"
"TRP-AGG2-5","TRNA-Pro (Anticodon AGG) 2-5","RNA Gene","","17","GC14M027774","2.82623672485352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-5"
"SLC10A1","Solute Carrier Family 10 Member 1","Protein Coding","Q14973","54","GC14M069775","2.81776332855225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A1"
"SLC25A21","Solute Carrier Family 25 Member 21","Protein Coding","Q9BQT8","53","GC14M036677","2.81271743774414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A21"
"HNRNPU","Heterogeneous Nuclear Ribonucleoprotein U","Protein Coding","Q00839","55","GC01M244844","2.81169366836548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPU"
"UNG","Uracil DNA Glycosylase","Protein Coding","P13051","59","GC12P109097","2.81040239334106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNG"
"SP3","Sp3 Transcription Factor","Protein Coding","Q02447","54","GC02M173882","2.80265665054321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP3"
"GRIN3A","Glutamate Ionotropic Receptor NMDA Type Subunit 3A","Protein Coding","Q8TCU5","51","GC09M101569","2.80254149436951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN3A"
"FGF1","Fibroblast Growth Factor 1","Protein Coding","P05230","59","GC05M142555","2.79980945587158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1"
"LIAS","Lipoic Acid Synthetase","Protein Coding","O43766","55","GC04P039558","2.79721331596375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIAS"
"TALDO1","Transaldolase 1","Protein Coding","P37837","59","GC11P014054","2.79688119888306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TALDO1"
"CELSR1","Cadherin EGF LAG Seven-Pass G-Type Receptor 1","Protein Coding","Q9NYQ6","53","GC22M046360","2.79314875602722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR1"
"NIT1","Nitrilase 1","Protein Coding","Q86X76","46","GC01P161118","2.79302883148193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIT1"
"KNG1","Kininogen 1","Protein Coding","P01042","61","GC03P186717","2.79199552536011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"ACACA","Acetyl-CoA Carboxylase Alpha","Protein Coding","Q13085","62","GC17M037084","2.79147601127625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA"
"DLAT","Dihydrolipoamide S-Acetyltransferase","Protein Coding","P10515","58","GC11P112736","2.78853297233582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLAT"
"CLCN5","Chloride Voltage-Gated Channel 5","Protein Coding","P51795","56","GC0XP049922","2.7884521484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN5"
"A2M","Alpha-2-Macroglobulin","Protein Coding","P01023","59","GC12M009067","2.78562784194946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"EYS","Eyes Shut Homolog","Protein Coding","Q5T1H1","45","GC06M063719","2.77689075469971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EYS"
"CZ1P-ASNS","CZ1P-ASNS Readthrough","RNA Gene","","12","GC07M097856","2.76628017425537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CZ1P-ASNS"
"AGPS","Alkylglycerone Phosphate Synthase","Protein Coding","O00116","55","GC02P177392","2.74977445602417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPS"
"WNT1","Wnt Family Member 1","Protein Coding","P04628","59","GC12P064917","2.7476544380188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1"
"PAX6","Paired Box 6","Protein Coding","P26367","61","GC11M031784","2.74706125259399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6"
"SLC25A42","Solute Carrier Family 25 Member 42","Protein Coding","Q86VD7","50","GC19P019063","2.74492740631104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A42"
"CSN1S1","Casein Alpha S1","Protein Coding","P47710","49","GC04P070063","2.74388599395752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN1S1"
"FOXE3","Forkhead Box E3","Protein Coding","Q13461","47","GC01P047416","2.74189281463623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE3"
"INPP5K","Inositol Polyphosphate-5-Phosphatase K","Protein Coding","Q9BT40","54","GC17M001494","2.7399001121521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5K"
"SLC25A53","Solute Carrier Family 25 Member 53","Protein Coding","Q5H9E4","39","GC0XM104099","2.73835301399231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A53"
"HNRNPK","Heterogeneous Nuclear Ribonucleoprotein K","Protein Coding","P61978","58","GC09M112904","2.73833203315735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPK"
"ACSF3","Acyl-CoA Synthetase Family Member 3","Protein Coding","Q4G176","55","GC16P089088","2.73458623886108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSF3"
"DSPP","Dentin Sialophosphoprotein","Protein Coding","Q9NZW4","50","GC04P087608","2.72527933120728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSPP"
"TG","Thyroglobulin","Protein Coding","P01266","57","GC08P132866","2.71367597579956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"RHCE","Rh Blood Group CcEe Antigens","Protein Coding","P18577","51","GC01M032159","2.7021312713623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHCE"
"ROM1","Retinal Outer Segment Membrane Protein 1","Protein Coding","Q03395","55","GC11P062611","2.69537210464478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROM1"
"CTDSPL","CTD Small Phosphatase Like","Protein Coding","O15194","49","GC03P037861","2.68636465072632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTDSPL"
"SIRT2","Sirtuin 2","Protein Coding","Q8IXJ6","59","GC19M038878","2.6861412525177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT2"
"CYP4V2","Cytochrome P450 Family 4 Subfamily V Member 2","Protein Coding","Q6ZWL3","51","GC04P186191","2.68358469009399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP4V2"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","P49682","57","GC0XM071615","2.68273067474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3"
"TBCK","TBC1 Domain Containing Kinase","Protein Coding","Q8TEA7","51","GC04M106041","2.66931104660034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCK"
"CTBP1","C-Terminal Binding Protein 1","Protein Coding","Q13363","61","GC04M001211","2.65518665313721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1"
